dataset,method,random_state_value,min_support,max_depth,duration,train_acc,test_acc,reconstructed_dataset_entropy,no_knowledge_dataset_entropy,n_elementary_tokens,n_branches_rules,entropy_reduction_ratio,average_tokens_per_examples,n_elementary_tokens_path,leaves_support,sorted_leaves_single_example_entropy_list
compas,DL8.5,0,0.01,1,0.3273457670584321,0.6340322301160978,0.6243936243936244,150046.0,155817.0,1,2,0.9629629629629629,1.0,2,"[1844, 3927]","[26.0, 26.0]"
compas,DL8.5,0,0.01,2,0.7325914041139185,0.663143302720499,0.6576576576576577,144275.0,155817.0,3,4,0.9259259259259259,2.0,8,"[869, 2444, 811, 1647]","[25.0, 25.0, 25.0, 25.0]"
compas,DL8.5,0,0.01,3,1.1607921228278428,0.6731935539767805,0.6846846846846847,138504.0,155817.0,7,8,0.8888888888888888,3.0,24,"[559, 116, 246, 566, 1050, 1609, 411, 1214]","[24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0]"
compas,DL8.5,0,0.01,4,2.5697949090972543,0.6801247617397331,0.6826056826056826,132733.0,155817.0,15,16,0.8518518518518519,4.0,64,"[107, 72, 413, 83, 95, 282, 246, 189, 580, 901, 110, 465, 333, 895, 155, 845]","[23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0]"
compas,DL8.5,0,0.01,5,9.763618016149849,0.6854964477560215,0.6632016632016632,128392.0,155817.0,22,23,0.8239922473157615,4.7522093224744415,107,"[67, 141, 142, 262, 540, 211, 582, 137, 84, 57, 259, 66, 246, 114, 115, 580, 462, 110, 274, 396, 333, 155, 438]","[22.0, 22.0, 22.0, 22.0, 23.0, 22.0, 22.0, 24.0, 23.0, 23.0, 22.0, 22.0, 23.0, 23.0, 23.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]"
compas,DL8.5,0,0.01,6,40.50729104410857,0.6882689308612026,0.6701316701316701,123245.0,155817.0,39,40,0.7909599080973193,5.644082481372379,222,"[80, 159, 196, 70, 185, 72, 76, 99, 163, 171, 153, 142, 115, 316, 79, 85, 62, 72, 105, 249, 228, 226, 81, 60, 73, 61, 60, 200, 191, 393, 319, 126, 81, 196, 230, 65, 67, 114, 133, 218]","[23.0, 23.0, 23.0, 21.0, 21.0, 22.0, 22.0, 21.0, 21.0, 23.0, 22.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 23.0, 21.0, 21.0, 21.0, 21.0, 23.0, 21.0, 21.0, 22.0, 22.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 22.0, 21.0, 21.0]"
compas,DL8.5,0,0.01,7,127.74844333995134,0.6896551724137931,0.6652806652806653,119117.0,155817.0,41,42,0.7644672917589224,6.359383122509097,256,"[77, 157, 194, 67, 185, 71, 76, 99, 163, 123, 149, 142, 115, 316, 78, 84, 62, 65, 66, 145, 101, 154, 802, 105, 63, 195, 63, 91, 276, 99, 121, 59, 136, 158, 236, 82, 59, 113, 66, 70, 207, 81]","[22.0, 22.0, 22.0, 20.0, 20.0, 21.0, 21.0, 20.0, 20.0, 22.0, 21.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 25.0, 23.0, 22.0, 21.0, 20.0, 20.0, 21.0, 21.0, 20.0, 20.0, 21.0, 20.0, 20.0, 20.0, 20.0, 21.0, 20.0, 20.0, 23.0, 23.0, 23.0, 21.0, 20.0, 20.0, 22.0]"
compas,DL8.5,0,0.01,8,323.50746094901115,0.6901750129960146,0.6687456687456688,117257.0,155817.0,51,52,0.752530211722726,6.681684283486398,340,"[57, 61, 107, 60, 57, 112, 136, 59, 70, 88, 129, 118, 121, 99, 57, 156, 115, 185, 69, 205, 61, 119, 92, 64, 64, 150, 144, 65, 69, 166, 68, 140, 149, 76, 141, 82, 135, 168, 239, 95, 130, 137, 79, 153, 73, 71, 120, 294, 107, 66, 125, 68]","[24.0, 24.0, 23.0, 23.0, 21.0, 21.0, 21.0, 21.0, 20.0, 19.0, 19.0, 21.0, 19.0, 19.0, 20.0, 21.0, 24.0, 22.0, 21.0, 21.0, 20.0, 19.0, 19.0, 21.0, 21.0, 20.0, 20.0, 21.0, 21.0, 22.0, 19.0, 19.0, 19.0, 19.0, 21.0, 20.0, 20.0, 19.0, 19.0, 20.0, 20.0, 19.0, 19.0, 21.0, 22.0, 20.0, 20.0, 19.0, 19.0, 20.0, 21.0, 21.0]"
compas,DL8.5,0,0.01,9,608.9969309179578,0.6908681337723098,0.6722106722106722,114859.0,155817.0,53,54,0.7371403633749848,7.097210188875412,377,"[115, 185, 69, 205, 61, 119, 92, 64, 64, 150, 144, 57, 77, 157, 59, 189, 75, 70, 99, 143, 103, 149, 171, 166, 78, 98, 65, 96, 111, 57, 167, 158, 109, 102, 65, 91, 82, 101, 69, 105, 66, 240, 73, 135, 69, 136, 65, 173, 69, 69, 60, 86, 125, 68]","[25.0, 23.0, 22.0, 22.0, 21.0, 20.0, 20.0, 22.0, 22.0, 21.0, 21.0, 23.0, 20.0, 20.0, 19.0, 19.0, 20.0, 19.0, 18.0, 18.0, 20.0, 19.0, 19.0, 18.0, 18.0, 19.0, 24.0, 23.0, 22.0, 21.0, 18.0, 18.0, 19.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 19.0, 18.0, 18.0, 19.0, 19.0, 20.0, 19.0, 18.0, 18.0, 19.0, 19.0, 20.0, 21.0, 21.0]"
compas,DL8.5,0,0.01,10,1010.5075787708629,0.6910414139663836,0.6673596673596673,111332.0,155817.0,54,55,0.7145048358009717,7.708369433373766,424,"[100, 101, 66, 131, 57, 62, 80, 80, 60, 59, 63, 121, 99, 57, 70, 88, 129, 114, 68, 68, 140, 216, 120, 128, 76, 104, 559, 57, 84, 186, 59, 60, 114, 165, 131, 65, 85, 74, 101, 69, 105, 66, 216, 73, 135, 62, 134, 65, 173, 68, 69, 60, 86, 125, 68]","[26.0, 23.0, 23.0, 22.0, 22.0, 20.0, 20.0, 19.0, 19.0, 20.0, 21.0, 18.0, 18.0, 19.0, 18.0, 17.0, 17.0, 19.0, 23.0, 18.0, 18.0, 19.0, 18.0, 17.0, 17.0, 19.0, 21.0, 22.0, 21.0, 20.0, 20.0, 21.0, 20.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 18.0, 17.0, 17.0, 18.0, 18.0, 19.0, 18.0, 17.0, 17.0, 18.0, 18.0, 19.0, 20.0, 20.0]"
